preds,labels,logits_0,logits_1
0,0,0.5169816103604082,0.483018389639592
0,0,0.5047060168367501,0.4952939831632499
0,0,0.6207894247968132,0.3792105752031865
0,1,0.6626431123777424,0.3373568876222579
1,1,0.10661736270054291,0.8933826372994566
1,0,0.3234179650565805,0.6765820349434195
1,0,0.49626489203646185,0.5037351079635382
0,1,0.6882486989755427,0.3117513010244573
0,1,0.5561514930671637,0.4438485069328366
0,1,0.503212611752936,0.49678738824706403
1,1,0.48728992322229636,0.5127100767777036
1,0,0.47575217360987515,0.5242478263901243
0,1,0.595802599367347,0.40419740063265336
1,1,0.48997831324583063,0.5100216867541693
1,1,0.49225287312900134,0.5077471268709987
1,1,0.4534909840076808,0.5465090159923194
0,1,0.5121109984375367,0.48788900156246306
0,0,0.5501393765924739,0.4498606234075262
1,0,0.45565420341691787,0.5443457965830821
1,0,0.49049973604292035,0.5095002639570797
1,1,0.37455316807107003,0.62544683192893
1,0,0.48997831324583063,0.5100216867541693
0,0,0.5563285553266033,0.4436714446733967
0,0,0.5600791922124143,0.4399208077875861
0,0,0.6466422872423793,0.35335771275762107
1,1,0.31058715538697385,0.6894128446130257
0,0,0.8213922604657283,0.1786077395342713
0,1,0.6288103794086283,0.37118962059137206
0,1,0.7334089674770976,0.2665910325229026
0,0,0.6515356586278881,0.3484643413721125
0,1,0.7213712496948679,0.2786287503051322
0,0,0.5188275829989533,0.48117241700104707
0,1,0.6207894247968132,0.3792105752031865
0,0,0.501705381046226,0.4982946189537739
1,0,0.4322994764905432,0.5677005235094562
0,1,0.5209245218520276,0.4790754781479725
1,1,0.49093565644874837,0.5090643435512516
1,0,0.4880393390468366,0.5119606609531634
1,0,0.47228197176210607,0.5277180282378935
1,0,0.3562768822239176,0.6437231177760818
1,1,0.4925005564252931,0.5074994435747069
0,1,0.5239657263502114,0.47603427364978895
0,0,0.6730194382415586,0.3269805617584418
1,0,0.4831223571595548,0.5168776428404449
1,1,0.4633639137047954,0.5366360862952042
1,0,0.47472389448518465,0.5252761055148147
0,0,0.506744865767565,0.49325513423243506
0,1,0.5434214428971041,0.4565785571028962
0,0,0.5924838285047636,0.40751617149523733
1,0,0.3773180150946791,0.6226819849053206
1,1,0.48997831324583063,0.5100216867541693
1,0,0.48997831324583063,0.5100216867541693
1,0,0.47733962916251904,0.5226603708374805
0,1,0.5035624857949069,0.49643751420509313
1,0,0.41818582364181045,0.581814176358189
1,1,0.3546413974199116,0.6453586025800881
1,1,0.4905070193298066,0.5094929806701933
1,0,0.4902298263917692,0.5097701736082306
0,0,0.5370382184394467,0.4629617815605536
1,1,0.48997831324583063,0.5100216867541693
1,1,0.49249155075632545,0.5075084492436746
0,1,0.532052742175075,0.46794725782492536
1,0,0.4721107495575994,0.5278892504424
1,1,0.4828484664306761,0.5171515335693238
1,0,0.49051807635919775,0.5094819236408021
1,1,0.45827781253760036,0.5417221874623992
0,0,0.6767156948213986,0.32328430517860207
1,0,0.48997831324583063,0.5100216867541693
1,1,0.48997831324583063,0.5100216867541693
1,1,0.4504164103894716,0.5495835896105283
1,0,0.43797929611121306,0.5620207038887867
0,0,0.739546958187023,0.26045304181297807
1,0,0.2880607466778794,0.7119392533221195
1,0,0.443412605384257,0.5565873946157427
0,0,0.6327455562004883,0.36725444379951183
1,1,0.35607294832666325,0.6439270516733363
0,1,0.5158152686979771,0.48418473130202305
1,1,0.48997831324583063,0.5100216867541693
1,1,0.47112085082480204,0.5288791491751977
1,1,0.4801413487423386,0.5198586512576611
1,0,0.48997831324583063,0.5100216867541693
0,0,0.8661098476469817,0.13389015235301902
1,0,0.47535236073944687,0.5246476392605528
1,1,0.48997831324583063,0.5100216867541693
1,1,0.3624485832316344,0.6375514167683655
0,1,0.5391318983246987,0.4608681016753016
0,0,0.5229403964426128,0.4770596035573874
1,0,0.3627381280608852,0.6372618719391154
1,0,0.48997831324583063,0.5100216867541693
1,1,0.49079534951424997,0.50920465048575
0,1,0.5362848020125917,0.46371519798740884
1,0,0.48997831324583063,0.5100216867541693
0,0,0.8661098476469817,0.13389015235301902
0,0,0.8661098476469817,0.13389015235301902
1,0,0.49177871865209866,0.5082212813479013
1,0,0.48997831324583063,0.5100216867541693
1,1,0.456476490903444,0.5435235090965554
0,0,0.5197405175706847,0.4802594824293156
0,1,0.5296498284992033,0.4703501715007968
1,1,0.43920024018864645,0.5607997598113527
1,1,0.425448363117873,0.5745516368821266
1,0,0.48997831324583063,0.5100216867541693
1,1,0.42269336112573536,0.5773066388742638
1,1,0.440686971318689,0.5593130286813103
1,1,0.287822645287785,0.7121773547122148
1,1,0.36859687628315513,0.6314031237168454
0,0,0.5333211724790842,0.4666788275209162
0,1,0.7312947272821595,0.2687052727178403
1,1,0.370024210353673,0.629975789646327
1,0,0.4968519948411259,0.503148005158874
0,1,0.539521648407164,0.46047835159283645
0,1,0.539377457393485,0.46062254260651525
1,1,0.48997831324583063,0.5100216867541693
0,0,0.6184275674090384,0.38157243259096185
1,0,0.4648808542379111,0.5351191457620884
0,0,0.65460972179831,0.3453902782016904
0,1,0.6198809432930623,0.3801190567069374
1,1,0.37372569309159104,0.6262743069084087
1,1,0.4303401041825218,0.5696598958174777
0,1,0.7284741956946762,0.2715258043053239
1,1,0.1011563472551441,0.8988436527448558
0,0,0.5342658115706663,0.465734188429334
1,0,0.4724254004411453,0.5275745995588542
0,1,0.5536213507412754,0.44637864925872467
1,1,0.48997831324583063,0.5100216867541693
1,0,0.48997831324583063,0.5100216867541693
0,1,0.5153363831292601,0.48466361687073994
1,1,0.4894562114943711,0.5105437885056288
1,0,0.48997831324583063,0.5100216867541693
1,1,0.4601597947243778,0.5398402052756218
0,0,0.7693690643790475,0.2306309356209531
1,0,0.49030843851948547,0.5096915614805144
0,0,0.559211862365805,0.44078813763419544
1,1,0.4901090933256709,0.5098909066743292
0,0,0.5203958775789441,0.4796041224210562
1,1,0.4865136622040653,0.5134863377959347
0,0,0.6094103083261642,0.3905896916738362
1,0,0.48897720840467324,0.5110227915953267
1,1,0.49155464716573677,0.5084453528342633
1,1,0.4828484664306761,0.5171515335693238
1,0,0.48861027034285776,0.5113897296571422
1,1,0.4851275134871142,0.5148724865128858
1,0,0.3832254926694799,0.6167745073305204
1,1,0.48997831324583063,0.5100216867541693
0,0,0.6895331766245578,0.31046682337544274
1,1,0.48997831324583063,0.5100216867541693
1,1,0.49908813729243995,0.50091186270756
1,0,0.48997831324583063,0.5100216867541693
1,0,0.4889015738090859,0.5110984261909141
0,1,0.6472643183449631,0.3527356816550374
1,1,0.48075021680115304,0.5192497831988466
1,1,0.48008451614019776,0.519915483859802
0,1,0.5143447271127505,0.4856552728872496
1,0,0.4587525772938023,0.5412474227061974
1,1,0.47360730207360996,0.5263926979263894
1,0,0.4226872686073799,0.5773127313926193
0,1,0.5643207428471437,0.4356792571528566
1,0,0.4096005889045273,0.5903994110954722
0,0,0.6928790377719874,0.307120962228013
1,1,0.46569778984369303,0.5343022101563065
1,0,0.48367496712586544,0.5163250328741342
1,0,0.4515161912763694,0.5484838087236305
1,0,0.4477629369497798,0.5522370630502201
1,0,0.3322747049407678,0.6677252950592325
1,1,0.48901596208796794,0.510984037912032
0,0,0.5757275960145057,0.42427240398549465
1,1,0.43537860173628795,0.5646213982637114
1,1,0.48997831324583063,0.5100216867541693
0,0,0.7465239494606704,0.2534760505393305
1,0,0.48997831324583063,0.5100216867541693
1,1,0.39396632295530976,0.6060336770446895
1,0,0.19972804863916946,0.8002719513608306
